Liquid Truck,,,,,,,,,,,,,,,,,,,,Pipelines,,,,,,,,,,,,,,,,,
Electricity Cost,Utilization,Fuel Price,Liquid Leakage,Transmission Length,Liquid Station Leakage,Liquid Transmission Leakge,Stations,Fuel Economy,Cab Cost,Liquifaction Cap Cost,Compressor/ Liquifaction Cost,Station Capital Cost,Pipeline Capital Cost,Liquefaction Efficiency,Transmission Cost,Distribution Cost,Station Cost,Final Cost,,Electricity Cost,Utilization,Pipe Leakage,Pipe Station Leakage,Pipe Trans Leakage,Stations,Fuel Economy,Cab Cost,Liquifaction Cap Cost,Compressor/ Liquifaction Cost,Station Capital Cost,Pipeline Capital Cost,Transmission Length,Compression Efficiency,Transmission Cost,Distribution Cost,Station Cost,Final Cost
0.15143087,60.4476023,12.779139,0.05420336,100,0.02066351,0.02645174,192,10.4281407,329049.051,1.15155263,1.01979744,1.1442378,1.05839231,0.91648929,3.4564,2.9589,0.9418761,7.3571761,,0.15143087,60.4476023,0.01327768,0.00390275,0.00023006,192,10.4281407,329049.051,1.15155263,1.01979744,1.1442378,1.05839231,100,0.91648929,0.444,2.4428,2.68727379,5.57407379
0.16856758,83.7759018,8.52727652,0.045149,100,0.0136024,0.01941043,139,9.52935541,342418.969,0.89276867,1.08184268,0.85102201,1.00927994,1.09233906,3.3144,2.8731,0.56284115,6.75034115,,0.16856758,83.7759018,0.01155709,0.00278996,0.0003422,139,9.52935541,342418.969,0.89276867,1.08184268,0.85102201,1.00927994,100,1.09233906,0.4449,2.1303,1.88941068,4.46461068
0.12195057,69.333396,12.6019597,0.04775451,100,0.01050106,0.04869542,168,9.82628789,272318.923,1.16957011,1.03283484,0.80385609,0.88334606,0.84520338,3.1413,2.6153,0.60537822,6.36197822,,0.12195057,69.333396,0.02888054,0.00221238,0.00025743,168,9.82628789,272318.923,1.16957011,1.03283484,0.80385609,0.88334606,100,0.84520338,0.4462,2.3131,1.81092872,4.57022872
0.08065141,65.5511761,9.63203382,0.02867141,100,0.01025227,0.04603262,177,8.29213612,307577.956,0.92085772,1.04044664,1.14659686,1.10839522,1.03051741,2.3337,1.9159,0.82870339,5.07830339,,0.08065141,65.5511761,0.02254163,0.0045908,0.00032882,177,8.29213612,307577.956,0.92085772,1.04044664,1.14659686,1.10839522,100,1.03051741,0.4455,2.3633,2.19064323,4.99944323
0.09524131,76.4194155,13.4108949,0.01455185,100,0.01408595,0.03747833,152,10.1936161,335963.094,1.11690431,0.9032346,1.15544977,1.0401861,1.1715142,2.7183,2.2506,0.73266485,5.70156485,,0.09524131,76.4194155,0.02452127,0.00483454,0.00027806,152,10.1936161,335963.094,1.11690431,0.9032346,1.15544977,1.0401861,100,1.1715142,0.4434,2.216,2.02017602,4.67957602
0.13196592,87.9522133,7.01758337,0.03509058,100,0.01366137,0.0330496,132,9.78500488,251112.95,1.11775322,1.17544372,0.86455483,1.08567364,0.83676369,3.1261,2.65,0.52683736,6.30293736,,0.13196592,87.9522133,0.03207511,0.00299542,0.0003762,132,9.78500488,251112.95,1.11775322,1.17544372,0.86455483,1.08567364,100,0.83676369,0.4491,2.0925,1.67342289,4.21502289
0.2041467,75.4336882,14.4691281,0.037356,100,0.0201087,0.00612414,154,10.9123397,216502.559,0.88942924,1.11837466,1.01188507,1.06531379,1.14427431,3.655,3.2435,0.72711149,7.62561149,,0.2041467,75.4336882,0.00493418,0.00239041,0.00034085,154,10.9123397,216502.559,0.88942924,1.11837466,1.01188507,1.06531379,100,1.14427431,0.4447,2.222,2.38908027,5.05578027
0.22799635,85.195322,7.65414,0.0260978,100,0.02092595,0.0039535,136,7.94652369,330189.478,0.81546202,1.06581342,0.94295745,1.10193064,0.85465701,3.8203,3.4199,0.63677254,7.87697254,,0.22799635,85.195322,0.02271264,0.00624299,0.0003185,136,7.94652369,330189.478,0.81546202,1.06581342,0.94295745,1.10193064,100,0.85465701,0.446,2.1158,2.27916867,4.84096867
0.19253578,54.6745539,10.2976556,0.0472186,100,0.01838771,0.00188329,212,8.1140872,384091.127,0.94122205,0.89102356,1.00985632,1.02364614,0.81585186,3.6375,3.2082,0.95086021,7.79656021,,0.19253578,54.6745539,0.03136627,0.00309336,0.00037072,212,8.1140872,384091.127,0.94122205,0.89102356,1.00985632,1.02364614,100,0.81585186,0.4441,2.5542,2.85343237,5.85173237
0.0858002,84.5046234,10.707231,0.04409724,100,0.01987176,0.00812415,138,10.5443561,261543.381,1.18856907,1.16280086,0.90306935,1.16837227,1.02191708,2.6643,2.2374,0.54232279,5.44402279,,0.0858002,84.5046234,0.04079547,0.00442733,0.00033306,138,10.5443561,261543.381,1.18856907,1.16280086,0.90306935,1.16837227,100,1.02191708,0.4501,2.1352,1.5330007,4.1183007
