Liquid Truck,,,,,,,,,,,,,,,,,,,,Pipelines,,,,,,,,,,,,,,,,,
Electricity Cost,Utilization,Fuel Price,Liquid Leakage,Transmission Length,Liquid Station Leakage,Liquid Transmission Leakge,Stations,Fuel Economy,Cab Cost,Liquifaction Cap Cost,Compressor/ Liquifaction Cost,Station Capital Cost,Pipeline Capital Cost,Liquefaction Efficiency,Transmission Cost,Distribution Cost,Station Cost,Final Cost,,Electricity Cost,Utilization,Pipe Leakage,Pipe Station Leakage,Pipe Trans Leakage,Stations,Fuel Economy,Cab Cost,Liquifaction Cap Cost,Compressor/ Liquifaction Cost,Pipeline Station Capital Cost,Pipeline Capital Cost,Transmission Length,Compression Efficiency,Transmission Cost,Distribution Cost,Station Cost,Final Cost
0.11268172,54.1134167,9.79156446,0.01760526,100,0.01847976,0.02173776,19,8.94278119,228305.113,1.18321352,0.89322298,0.8687366,0.90056975,1.01153319,3.8414,3.1865,0.80768064,7.83558064,,0.11268172,54.1134167,0.00119937,0.00505852,0.00029404,19,8.94278119,228305.113,1.18321352,0.89322298,0.8687366,0.90056975,100,1.01153319,2.323,3.5894,2.22777447,8.14017447
0.17355107,72.9388094,8.42113352,0.05447828,100,0.01701771,0.04796932,14,8.67801666,204593.694,1.09808946,0.9807729,0.85955362,0.91771829,1.04247749,4.4999,3.7776,0.64253315,8.92003315,,0.17355107,72.9388094,0.01692811,0.00224608,0.00025459,14,8.67801666,204593.694,1.09808946,0.9807729,0.85955362,0.91771829,100,1.04247749,2.3273,3.1267,2.08105521,7.53505521
0.09583126,80.880909,14.807241,0.03554939,100,0.02012614,0.00321742,13,8.79053886,268403.828,1.1632267,0.99136703,1.15975366,0.97117093,0.83073113,3.6436,3.0081,0.70194713,7.35364713,,0.09583126,80.880909,0.02499411,0.00176583,0.0002278,13,8.79053886,268403.828,1.1632267,0.99136703,1.15975366,0.97117093,100,0.83073113,2.3286,3.0254,1.93695967,7.29095967
0.225041,58.7316465,9.66222811,0.05422488,100,0.01935219,0.02455998,18,11.0179866,355280.864,1.11222816,0.88357165,0.81551285,1.15677421,1.12281816,5.1254,4.4019,0.77398677,10.3012868,,0.225041,58.7316465,0.01522703,0.0034894,0.00023693,18,11.0179866,355280.864,1.11222816,0.88357165,0.81551285,1.15677421,100,1.12281816,2.3245,3.5041,2.56167807,8.39027807
0.17076214,69.2678165,11.0075183,0.00963919,100,0.01689996,0.01172218,15,8.76505206,333790.171,1.10557661,0.86031339,1.16492629,0.81961787,0.89849017,4.3541,3.6917,0.85236626,8.89816626,,0.17076214,69.2678165,0.02192561,0.00535748,0.00036381,15,8.76505206,333790.171,1.10557661,0.86031339,1.16492629,0.81961787,100,0.89849017,2.3247,3.2258,2.56940217,8.11990217
0.17718161,69.8096704,14.6384606,0.0057516,100,0.02072663,0.0111092,15,10.4967422,377294.481,0.89997067,0.86087143,1.16203146,1.18196447,1.04045284,4.0425,3.4552,0.85160321,8.34930321,,0.17718161,69.8096704,0.03262863,0.00348996,0.00039756,15,10.4967422,377294.481,0.89997067,0.86087143,1.16203146,1.18196447,100,1.04045284,2.3262,3.2278,2.57901567,8.13301567
0.1249225,76.8107605,11.3704238,0.04829446,100,0.01905667,0.04188969,14,7.94804685,274012.482,0.98797321,0.94193218,0.83364415,1.17274163,0.81815503,3.7177,3.0796,0.57546785,7.37276785,,0.1249225,76.8107605,0.02953045,0.00371483,0.00035596,14,7.94804685,274012.482,0.98797321,0.94193218,0.83364415,1.17274163,100,0.81815503,2.3279,3.1291,1.74850094,7.20550094
0.06885167,86.2290335,14.8161397,0.03176048,100,0.0164702,0.03022383,12,9.31876321,269108.665,0.94547229,0.83520644,0.80650692,1.04609668,1.14814031,2.9443,2.3755,0.4749524,5.7947524,,0.06885167,86.2290335,0.00888481,0.00356583,0.00039828,12,9.31876321,269108.665,0.94547229,0.83520644,0.80650692,1.04609668,100,1.14814031,2.3224,2.9121,1.31634668,6.55084668
0.13905145,83.4291744,11.4442973,0.02111664,100,0.01847182,0.03997963,12,10.2722259,282564.414,1.12445459,1.06910913,1.14225001,0.87651389,1.09346106,4.0872,3.3942,0.69605223,8.17745223,,0.13905145,83.4291744,0.03199068,0.0057989,0.00029819,12,10.2722259,282564.414,1.12445459,1.06910913,1.14225001,0.87651389,100,1.09346106,2.3316,2.9219,2.09411348,7.34761348
0.22464287,86.3662004,10.6693864,0.04543206,100,0.01919622,0.02053126,12,11.0066938,396580.35,1.12859139,0.94200146,0.81766481,1.11799409,0.96465499,5.1315,4.4021,0.56671012,10.1003101,,0.22464287,86.3662004,0.03060389,0.00567727,0.00029564,12,11.0066938,396580.35,1.12859139,0.94200146,0.81766481,1.11799409,100,0.96465499,2.328,2.9192,2.10390881,7.35110881
0.07264792,55.8003044,14.7227912,0.03310755,100,0.01665669,0.01948317,18,8.31814334,356259.93,1.00913696,1.13449562,0.88778977,0.91479695,1.08478425,3.1281,2.5316,0.77582493,6.43552493,,0.07264792,55.8003044,0.03286826,0.00587542,0.00039635,18,8.31814334,356259.93,1.00913696,1.13449562,0.88778977,0.91479695,100,1.08478425,2.3335,3.5128,2.01364356,7.85994356
0.13657851,76.2929487,10.0551343,0.03089414,100,0.01669286,0.00741375,14,8.02321715,277324.283,0.81863952,0.84832194,0.86930885,1.15124557,0.98103693,3.4371,2.914,0.60325826,6.95435826,,0.13657851,76.2929487,0.01811004,0.00365172,0.00023776,14,8.02321715,277324.283,0.81863952,0.84832194,0.86930885,1.15124557,100,0.98103693,2.3239,3.1249,1.85941618,7.30821618
0.15193931,61.7342091,12.0198703,0.01138818,100,0.01152395,0.04198227,17,8.76108,204608.309,1.05996466,1.05925863,1.18176246,0.92809374,1.06539118,4.0812,3.3948,0.94073938,8.41673938,,0.15193931,61.7342091,0.04208939,0.00173981,0.00029007,17,8.76108,204608.309,1.05996466,1.05925863,1.18176246,0.92809374,100,1.06539118,2.3327,3.4224,2.70286349,8.45796349
0.1083323,89.1513681,12.5881295,0.03619055,100,0.02056369,0.04099283,12,11.0429303,215088.022,1.0681313,1.17162392,0.98407087,1.0529556,0.96684177,3.6258,2.9876,0.56704936,7.18044936,,0.1083323,89.1513681,0.01255261,0.0044088,0.00021124,12,11.0429303,215088.022,1.0681313,1.17162392,0.98407087,1.0529556,100,0.96684177,2.3318,2.9195,1.67569103,6.92699103
0.1703503,74.5487595,10.8448119,0.05441738,100,0.01990324,0.0142591,14,11.0679182,209189.141,0.86246014,0.86183078,0.84387021,1.03229783,1.1776891,3.9421,3.3895,0.62207639,7.95367639,,0.1703503,74.5487595,0.02617892,0.00454215,0.00022464,14,11.0679182,209189.141,0.86246014,0.86183078,0.84387021,1.03229783,100,1.1776891,2.3253,3.1271,2.02298707,7.47538707
0.2219471,74.528861,12.0159307,0.02874988,100,0.01861833,0.04836364,14,11.0742196,384126.937,0.90653453,0.99850409,0.97716084,0.95249431,1.17639081,4.708,3.9892,0.72393697,9.42113697,,0.2219471,74.528861,0.03426553,0.00238533,0.00023806,14,11.0742196,384126.937,0.90653453,0.99850409,0.97716084,0.95249431,100,1.17639081,2.33,3.1309,2.44853009,7.90943009
0.0914716,67.4446392,10.7772059,0.04371066,100,0.01480684,0.0366554,15,10.8440168,233027.327,1.11347399,0.82666032,1.09576831,0.93744338,0.88947585,3.5168,2.8765,0.78521119,7.17851119,,0.0914716,67.4446392,0.0177447,0.00181223,0.00027292,15,10.8440168,233027.327,1.11347399,0.82666032,1.09576831,0.93744338,100,0.88947585,2.3233,3.2236,2.11457688,7.66147688
