City,Mode,Output,Variable,Pearson_r,Spearman_r,SRC,PRCC,abs_Pearson_r,abs_Spearman_r,abs_SRC,abs_PRCC
Fresno,Gas Truck,Total Cost,Gas Station Leak,,,0.0,,,,0.0,
Fresno,Gas Truck,Total Cost,Gas Trans Leak,,,6.938893903907228e-18,,,,6.938893903907228e-18,
Fresno,Gas Truck,Total Cost,Liquid CC,,,-1.6815581571897805e-44,,,,1.6815581571897805e-44,
Fresno,Gas Truck,Total Cost,Com CC,,,-4.484155085839415e-44,,,,4.484155085839415e-44,
Fresno,Gas Truck,Total Cost,Station CC,,,9.956824444577827e-60,,,,9.956824444577827e-60,
Fresno,Gas Truck,Total Cost,Pipeline CC,,,0.0,,,,0.0,
Fresno,Gas Truck,Total Cost,Liquefaction Efficiency,,,0.0,,,,0.0,
Fresno,Gas Truck,Total Cost,Compression Efficiency,,,0.0,,,,0.0,
Fresno,Gas Truck,Total GHG Cost,Electricity's CI,0.9982948904628661,0.9983275398301266,0.9977618353916833,0.9999389525837755,0.9982948904628661,0.9983275398301266,0.9977618353916833,0.9999389525837755
Fresno,Gas Truck,Total GHG Cost,Hydrogen Fuel's CI,0.061996910419752575,0.061002798771983995,0.05524169758606049,0.9799583460984294,0.061996910419752575,0.061002798771983995,0.05524169758606049,0.9799583460984294
Fresno,Gas Truck,Total GHG Cost,Fuel Economy,-0.026253805457870674,-0.025687097630863655,-0.017235015848874557,-0.8364637675620008,0.026253805457870674,0.025687097630863655,0.017235015848874557,0.8364637675620008
Fresno,Gas Truck,Total GHG Cost,Cab Cost,-0.0169585275223777,-0.016915835094676222,4.636503730309343e-05,0.011586162222013403,0.0169585275223777,0.016915835094676222,4.636503730309343e-05,0.011586162222013403
Fresno,Gas Truck,Total GHG Cost,Stations,0.015507482514262984,0.015175997535233991,0.0002356646355938197,0.007599732011838033,0.015507482514262984,0.015175997535233991,0.0002356646355938197,0.007599732011838033
Fresno,Gas Truck,Total GHG Cost,Utilization,-0.015408860882459255,-0.015514110690507642,0.00017525274630986187,0.006218528572477296,0.015408860882459255,0.015514110690507642,0.00017525274630986187,0.006218528572477296
Fresno,Gas Truck,Total GHG Cost,Fuel Price,-0.014217746086034747,-0.014189009241353827,1.5528278329347535e-06,-0.0005584937008262516,0.014217746086034747,0.014189009241353827,1.5528278329347535e-06,0.0005584937008262516
Fresno,Gas Truck,Total GHG Cost,Electricity Cost,,,0.0,,,,0.0,
Fresno,Gas Truck,Total GHG Cost,Gas Leak,,,2.7755575615628914e-17,,,,2.7755575615628914e-17,
Fresno,Gas Truck,Total GHG Cost,Trans Length,,,2.220446049250313e-16,,,,2.220446049250313e-16,
Fresno,Gas Truck,Total GHG Cost,Gas Station Leak,,,0.0,,,,0.0,
Fresno,Gas Truck,Total GHG Cost,Gas Trans Leak,,,-1.1102230246251565e-16,,,,1.1102230246251565e-16,
Fresno,Gas Truck,Total GHG Cost,Liquid CC,,,5.3809861030072976e-43,,,,5.3809861030072976e-43,
Fresno,Gas Truck,Total GHG Cost,Com CC,,,2.9371215812248166e-42,,,,2.9371215812248166e-42,
Fresno,Gas Truck,Total GHG Cost,Station CC,,,1.5930919111324523e-58,,,,1.5930919111324523e-58,
Fresno,Gas Truck,Total GHG Cost,Pipeline CC,,,0.0,,,,0.0,
Fresno,Gas Truck,Total GHG Cost,Liquefaction Efficiency,,,0.0,,,,0.0,
Fresno,Gas Truck,Total GHG Cost,Compression Efficiency,,,0.0,,,,0.0,
Fresno,Liquid Truck,Total Cost,Fuel Price,0.023073796404312556,0.020725147638363604,0.023482928936091413,0.021071710247838906,0.023073796404312556,0.020725147638363604,0.023482928936091413,0.021071710247838906
Fresno,Liquid Truck,Total Cost,Utilization,-0.02187420002143337,-0.020278009735603668,-0.010201112315387822,-0.005747625896764086,0.02187420002143337,0.020278009735603668,0.010201112315387822,0.005747625896764086
Fresno,Liquid Truck,Total Cost,Stations,0.021819221966504806,0.019649211408844937,0.011732679208705596,-0.003192015956743658,0.021819221966504806,0.019649211408844937,0.011732679208705596,0.003192015956743658
