New Haven High Demand,,,,Fresno High Demand,,,,Atlanta High Demand,,,,Miami High Demand,,
Gas Trucks,Liquid Trucks,Pipelines,,Gas Trucks,Liquid Trucks,Pipelines,,Gas Trucks,Liquid Trucks,Pipelines,,Gas Trucks,Liquid Trucks,Pipelines
3.60168525,4.06523081,3.86693585,,3.52767623,5.22293506,3.46384944,,4.20939893,3.64727369,2.47767885,,3.69033505,4.7171477,2.42567616
3.16065009,3.22199061,3.49679056,,3.3216397,3.46820346,3.47583511,,3.67130171,3.91010128,2.72784498,,3.48347754,2.96976049,2.32443553
4.10387546,5.02043714,4.0546878,,3.11537945,3.04621781,3.20228719,,4.2834359,4.15613806,2.90957529,,3.2777728,2.57657419,2.01597218
4.24684361,4.94137292,4.07193058,,3.5035697,3.50576062,3.52077893,,3.87950881,2.93639889,2.69443155,,3.68218513,3.04347534,2.45273672
3.19324865,3.13434467,3.53146772,,3.87212187,4.68152352,3.62635086,,4.53307176,3.61268639,2.75600655,,4.04642983,4.30615808,2.66649328
3.92665871,3.92109174,3.94285188,,3.15723099,3.37873137,3.34217133,,4.3165299,4.60490629,2.96398402,,3.30859088,2.94251709,2.20181929
3.70169657,3.79433654,3.97904548,,3.67126906,4.24114277,3.65488436,,3.50676973,3.13730574,2.41239538,,3.82701503,3.84958723,2.61780309
4.01508272,4.60914582,3.74830045,,3.72608917,4.14235775,3.54817918,,4.12396306,3.46987182,2.57917229,,3.87700761,3.68488858,2.54454263
3.34638253,2.94317973,3.59930627,,3.82479785,4.95733993,3.6615568,,4.14987848,3.51193421,2.66787529,,4.0204198,4.46676857,2.60024527
4.00047675,3.65231708,3.83416491,,3.51205025,3.42242382,3.36035158,,3.96925586,3.6116163,2.7338313,,3.70402083,2.97102772,2.19076835
3.5929641,4.21838763,4.05672344,,3.88934046,4.55699167,3.54051211,,3.91849165,3.52997087,2.59734864,,4.10031442,4.12417141,2.47988899
4.14568448,4.33094369,3.93535613,,3.39934091,3.71965341,3.40083994,,4.21886597,3.67998785,2.95754071,,3.57517293,3.29923749,2.31484217
3.76255628,3.90498921,3.97917589,,3.76605407,4.09306657,3.60181584,,3.67957447,2.74134537,2.28989203,,3.93941681,3.67894572,2.5753242
3.84104832,3.63957997,3.67409969,,3.22611095,3.46624268,3.39252629,,4.02087532,3.81153759,2.75373029,,3.38295965,2.9692711,2.2746634
4.42842674,4.46100443,3.99250089,,3.21251918,3.04302431,3.37560794,,3.87136255,3.67238217,2.58944854,,3.37073622,2.70062533,2.21057065
3.5055491,3.60411725,3.67110699,,3.51021728,3.37731875,3.37688836,,3.4567814,2.49978129,2.54695654,,3.70778891,2.86838174,2.18690588
3.84061283,4.42537312,3.9590038,,3.95338002,4.34894297,3.49412888,,4.0851915,4.39737132,2.87775388,,4.17212633,3.92764716,2.41993421
3.33184655,3.41897478,3.73481339,,3.56406075,3.43383618,3.43724792,,4.0961705,2.96159187,2.42809531,,3.72820703,3.04139092,2.3230681
3.89579413,4.07650364,3.81688997,,3.91700764,4.01527465,3.55195718,,4.13553334,4.29622245,2.81039823,,4.10148877,3.59421736,2.55654278
3.75625708,3.89775291,3.66137263,,3.66733026,3.39088881,3.50056899,,4.34134505,4.40925919,2.90627959,,3.87698769,2.91545755,2.38948407
3.44564787,3.10315315,3.79973297,,3.76695889,3.88215574,3.54099147,,3.9929252,2.9803089,2.73144549,,3.95976324,3.48971713,2.52602679
3.9813674,4.77955432,4.09945606,,3.46586922,3.55554182,3.42585968,,4.07948801,4.07270934,2.70511616,,3.6412063,3.15960741,2.29892287
3.56478211,3.41063284,3.74060392,,3.87341028,4.13515825,3.6902463,,4.49736345,4.45284742,3.01231655,,4.0643046,3.69211273,2.54875377
3.4858955,2.8742567,3.4566928,,3.96780343,4.76964799,3.64032831,,3.42038004,2.53908694,2.17666279,,4.15779939,4.38675492,2.71663347
3.72529149,3.77957435,3.65151027,,3.51722551,3.11748071,3.3968829,,4.58799966,4.3489712,2.91144089,,3.70185253,2.7520092,2.2591526
3.77865027,4.38994617,4.00494,,3.97108012,3.89358387,3.67022379,,4.34041862,3.63674714,2.59576879,,4.16476257,3.51644099,2.60243147
3.57645516,3.89475971,3.70400349,,3.64645419,3.46524612,3.52721668,,3.79044649,2.94152463,2.40736355,,3.82841856,3.0481436,2.44194447
3.63403758,3.63664063,3.63043861,,3.42618175,3.60239711,3.44668444,,4.06490185,3.65475924,2.84147746,,3.59952871,3.17577066,2.29518121
4.09353076,4.0149738,3.76057916,,3.8923922,5.24728472,3.96246035,,3.95300614,3.81834441,2.78209518,,4.05151235,4.75919267,2.92998903
